series examined          : 1450
events examined          : 3200
priced                   : 236
  not a partition        : 2934
  buckets do not tile    : 14
  legs fetched too far apart : 3
  book missing on a leg  : 13
  series that errored    : 0

verified partitions found : 252
across distinct series    : 187

  series                              events   legs  example
  ------------------------------------------------------------------------------------
  KXNFLSTAGEOFELIM                        32      6  KXNFLSTAGEOFELIM-27WAS
  KXPRIMARYMOV                            11   9-18  KXPRIMARYMOV-SENATEMAD26
  KXFEDDECISION                            9      5  KXFEDDECISION-28JAN
  KXNFLDIVISIONORDER                       8     24  KXNFLDIVISIONORDER-27NFCWEST
  KXPRIMARYPLACE                           5    3-6  KXPRIMARYPLACE-KXGOVFLNOMR-4
  KXNFLMATCHUP                             3 120-256  KXNFLMATCHUP-27SB
  KXCHESSAWARD                             2  15-21  KXCHESSAWARD-26WPOTY
  KXDECLAREPRESFIRSTD                      2  10-33  KXDECLAREPRESFIRSTD-28NOV07
  KXDSENATESEATS                           2  10-14  KXDSENATESEATS-29
  KXAFRICALEADEROUT                        1     10  KXAFRICALEADEROUT-35
  KXAKMOV                                  1     10  KXAKMOV-AKSENATE26NOV03
  KXAKSEN1                                 1      4  KXAKSEN1-KXAKSENADVANCE26AUG18-1
  KXAKSENGOVCOMBO                          1      4  KXAKSENGOVCOMBO-26NOV
  KXANTHROPICLEADLEFT                      1      6  KXANTHROPICLEADLEFT-28JAN01B
  KXANTHROPICSECTOR                        1     12  KXANTHROPICSECTOR-XX
  KXARGENTINAPRES                          1      7  KXARGENTINAPRES-27
  KXAUSTPM                                 1      7  KXAUSTPM-28SEP23
  KXBALANCEPOWERCOMBO                      1      4  KXBALANCEPOWERCOMBO-27FEB
  KXBERLINGOVMAYOR                         1      5  KXBERLINGOVMAYOR-26OCT01
  KXBERLINSTATE                            1      7  KXBERLINSTATE-26SEP20
  KXBOSNIANGEN                             1     10  KXBOSNIANGEN-26OCT04
  KXBRPRES1MOV                             1     11  KXBRPRES1MOV-BRPRES26
  KXBRPRESIDENT2                           1     13  KXBRPRESIDENT2-BRPRES26-2
  KXBRPRESIDENT3                           1     13  KXBRPRESIDENT3-BRPRES26-3
  KXCABOUT                                 1     21  KXCABOUT-26MAY22
  KXCAGOVLAMAYOR                           1      4  KXCAGOVLAMAYOR-26NOV
  KXCANELECTION                            1      3  KXCANELECTION-29OCT15
  KXCAPEVERDEPRES                          1      3  KXCAPEVERDEPRES-26NOV15
  KXCEARAGOV                               1      3  KXCEARAGOV-26OCT04
  KXCHICAGOMAYOR                           1     16  KXCHICAGOMAYOR-27
  KXCLOSESTGOVERNOR                        1     14  KXCLOSESTGOVERNOR-27JAN20
  KXCOOKPARLI                              1      4  KXCOOKPARLI-26AUG12
  KXDEMFIRSTCONTEST                        1      4  KXDEMFIRSTCONTEST-28
  KXDHOUSESEATS                            1     12  KXDHOUSESEATS-27
  KXDNC28HOST                              1      5  KXDNC28HOST-28
  KXDOMINICANREPUBLICDEPUTIES              1      3  KXDOMINICANREPUBLICDEPUTIES-28
  KXDOMINICANREPUBLICSENATE                1      3  KXDOMINICANREPUBLICSENATE-28
  KXDPRESPRIMARY                           1     15  KXDPRESPRIMARY-28SC
  KXDSENATESEATSH                          1      7  KXDSENATESEATSH-27
  KXDTICKET                                1     25  KXDTICKET-28NOV07
  KXEOTRUMPTERM                            1     12  KXEOTRUMPTERM-29JAN20
  KXESTPRES                                1     11  KXESTPRES-27JAN01
  KXFIJIPM                                 1      5  KXFIJIPM-27FEB06
  KXFINLANDPARLI                           1      5  KXFINLANDPARLI-27
  KXFOURSTATESEN                           1     16  KXFOURSTATESEN-26NOV03
  KXFRENCHPRES                             1     28  KXFRENCHPRES-27
  KXFRPSNOM                                1      7  KXFRPSNOM-26OCT01
  KXG7LEADEROUT                            1      7  KXG7LEADEROUT-26JUL20
  KXGASENGOVCOMBO                          1      4  KXGASENGOVCOMBO-26NOV
  KXGEORGIAPARLI                           1      5  KXGEORGIAPARLI-28
  KXGERELECTION                            1      7  KXGERELECTION-29MAR25
  KXGHANAPRES                              1      6  KXGHANAPRES-28
  KXGREECEPARLI                            1      3  KXGREECEPARLI-27
  KXGREEKPM                                1      9  KXGREEKPM-27JUL25
  KXGUATEMALACONGRESS                      1      7  KXGUATEMALACONGRESS-27
  KXHANNOVERMAYOR                          1      5  KXHANNOVERMAYOR-26SEP13
  KXHOUSEWINSTATE                          1      9  KXHOUSEWINSTATE-FLD
  KXHOWMANYSPEAKERHOUSE                    1      3  KXHOWMANYSPEAKERHOUSE-27JAN
  KXHUNGARYPRES                            1     11  KXHUNGARYPRES-27JAN01
  KXIASENGOVCOMBO                          1      4  KXIASENGOVCOMBO-26NOV
  KXINDIANPM                               1      9  KXINDIANPM-29APR30
  KXISLEMINISTER                           1     10  KXISLEMINISTER-26SEP24
  KXISRAELPM                               1     18  KXISRAELPM-26OCT27
  KXITALYDEPUTIES                          1      5  KXITALYDEPUTIES-27
  KXITALYPM                                1     11  KXITALYPM-27DEC22
  KXITALYSENATE                            1      5  KXITALYSENATE-27
  KXJOHANNESBURGMAYOR                      1      6  KXJOHANNESBURGMAYOR-26DEC31
  KXKELOWNAMAYOR                           1      4  KXKELOWNAMAYOR-26OCT17
